competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
translate product concept and brand direction into feasible packaging solutions (primary + secondary).,menerjemahkan konsep produk dan arah merek ke dalam solusi pengemasan yang layak (primer + sekunder).,translate product concept and brand direction into feasible packaging solutions (primary + secondary).,menerjemahkan konsep produk dan arah merek ke dalam solusi pengemasan yang layak (primer + sekunder). translate product concept and brand direction into feasible packaging solutions (primary + secondary).
"explore new packaging formats/materials to improve user experience, product safety, and differentiation in market.","mengeksplorasi format/bahan kemasan baru untuk meningkatkan pengalaman pengguna, keamanan produk, dan diferensiasi di pasar.","explore new packaging formats/materials to improve user experience, product safety, and differentiation in market.","mengeksplorasi format/bahan kemasan baru untuk meningkatkan pengalaman pengguna, keamanan produk, dan diferensiasi di pasar. explore new packaging formats/materials to improve user experience, product safety, and differentiation in market."
"conduct packaging benchmarking and continuously propose improvements in aesthetics, function, and sustainability.","melakukan benchmarking kemasan dan terus mengusulkan perbaikan estetika, fungsi, dan keberlanjutan.","conduct packaging benchmarking and continuously propose improvements in aesthetics, function, and sustainability.","melakukan benchmarking kemasan dan terus mengusulkan perbaikan estetika, fungsi, dan keberlanjutan. conduct packaging benchmarking and continuously propose improvements in aesthetics, function, and sustainability."
support brand innovation by proposing cost-effective and manufacturable packaging designs aligned with brand identity.,mendukung inovasi merek dengan mengusulkan desain kemasan yang hemat biaya dan dapat diproduksi yang selaras dengan identitas merek.,support brand innovation by proposing cost-effective and manufacturable packaging designs aligned with brand identity.,mendukung inovasi merek dengan mengusulkan desain kemasan yang hemat biaya dan dapat diproduksi yang selaras dengan identitas merek. support brand innovation by proposing cost-effective and manufacturable packaging designs aligned with brand identity.
"source, evaluate, and recommend packaging suppliers based on quality, cost competitiveness, lead time, and reliability.","mencari, mengevaluasi, dan merekomendasikan pemasok pengemasan berdasarkan kualitas, daya saing biaya, waktu tunggu, dan keandalan.","source, evaluate, and recommend packaging suppliers based on quality, cost competitiveness, lead time, and reliability.","mencari, mengevaluasi, dan merekomendasikan pemasok pengemasan berdasarkan kualitas, daya saing biaya, waktu tunggu, dan keandalan. source, evaluate, and recommend packaging suppliers based on quality, cost competitiveness, lead time, and reliability."
"drive packaging cost optimization initiatives (value engineering, material/spec adjustment, moq efficiency, supplier comparison).","mendorong inisiatif optimalisasi biaya pengemasan (rekayasa nilai, penyesuaian material/spesifikasi, efisiensi jumlah pelanggan, perbandingan pemasok).","drive packaging cost optimization initiatives (value engineering, material/spec adjustment, moq efficiency, supplier comparison).","mendorong inisiatif optimalisasi biaya pengemasan (rekayasa nilai, penyesuaian material/spesifikasi, efisiensi jumlah pelanggan, perbandingan pemasok). drive packaging cost optimization initiatives (value engineering, material/spec adjustment, moq efficiency, supplier comparison)."
"support procurement negotiation with data (cost breakdown, spec benchmarking, alternative materials).","mendukung negosiasi pengadaan dengan data (perincian biaya, pembandingan spesifikasi, bahan alternatif).","support procurement negotiation with data (cost breakdown, spec benchmarking, alternative materials).","mendukung negosiasi pengadaan dengan data (perincian biaya, pembandingan spesifikasi, bahan alternatif). support procurement negotiation with data (cost breakdown, spec benchmarking, alternative materials)."
troubleshoot packaging-related issues in pilot and mass production;,memecahkan masalah terkait pengemasan dalam produksi percontohan dan massal;,troubleshoot packaging-related issues in pilot and mass production;,memecahkan masalah terkait pengemasan dalam produksi percontohan dan massal; troubleshoot packaging-related issues in pilot and mass production;
lead root cause analysis and corrective actions.,memimpin analisis akar permasalahan dan tindakan perbaikan.,lead root cause analysis and corrective actions.,memimpin analisis akar permasalahan dan tindakan perbaikan. lead root cause analysis and corrective actions.
"own packaging development timeline, deliverables, and risk mitigation plans as part of npd project execution.","garis waktu pengembangan pengemasan sendiri, hasil, dan rencana mitigasi risiko sebagai bagian dari pelaksanaan proyek npd.","own packaging development timeline, deliverables, and risk mitigation plans as part of npd project execution.","garis waktu pengembangan pengemasan sendiri, hasil, dan rencana mitigasi risiko sebagai bagian dari pelaksanaan proyek npd. own packaging development timeline, deliverables, and risk mitigation plans as part of npd project execution."
"work closely with pd, qc and qa, procurement, supply chain, oem, and commercial team to ensure packaging success.","bekerja sama dengan pd, qc dan qa, pengadaan, rantai pasokan, oem, dan tim komersial untuk memastikan keberhasilan pengemasan.","work closely with pd, qc and qa, procurement, supply chain, oem, and commercial team to ensure packaging success.","bekerja sama dengan pd, qc dan qa, pengadaan, rantai pasokan, oem, dan tim komersial untuk memastikan keberhasilan pengemasan. work closely with pd, qc and qa, procurement, supply chain, oem, and commercial team to ensure packaging success."
"maintain packaging development documentation for all skus (spec sheet, supplier info, final artwork, change log).","memelihara dokumentasi pengembangan pengemasan untuk semua sku (lembar spesifikasi, info pemasok, karya seni akhir, log perubahan).","maintain packaging development documentation for all skus (spec sheet, supplier info, final artwork, change log).","memelihara dokumentasi pengembangan pengemasan untuk semua sku (lembar spesifikasi, info pemasok, karya seni akhir, log perubahan). maintain packaging development documentation for all skus (spec sheet, supplier info, final artwork, change log)."
proven experience managing end-to-end packaging development projects (primary + secondary packaging).,pengalaman yang terbukti mengelola proyek pengembangan pengemasan ujung ke ujung (kemasan primer + sekunder).,proven experience managing end-to-end packaging development projects (primary + secondary packaging).,pengalaman yang terbukti mengelola proyek pengembangan pengemasan ujung ke ujung (kemasan primer + sekunder). proven experience managing end-to-end packaging development projects (primary + secondary packaging).
"knowledge of regulatory packaging requirements (bpom labeling, barcode readiness, claim limitation, safety statement).","pengetahuan tentang persyaratan peraturan kemasan (pelabelan BPOM, kesiapan barcode, batasan klaim, pernyataan keamanan).","knowledge of regulatory packaging requirements (bpom labeling, barcode readiness, claim limitation, safety statement).","pengetahuan tentang persyaratan peraturan kemasan (pelabelan BPOM, kesiapan barcode, batasan klaim, pernyataan keamanan). knowledge of regulatory packaging requirements (bpom labeling, barcode readiness, claim limitation, safety statement)."
